ID;Razón Social;País;DR Inscripción;Resolución Inscripción;Fecha Inscripción;Vigencia Hasta;DR Actualización;Resolución Actualización;Fecha Actualización;Estado
1;BIRCHMOUNT INVESTMENTS LIMITED;CANADÁ;DR XV ;7553; 08-10-2008;jun-21;DR XV ;1327; 25-06-2020;PENDIENTE
2;AB SVENSK EXPORTKREDIT;SUECIA;DR XV ;8962; 10-11-2008;jun-22;DR XV ;1687; 21-07-2021;ACTUALIZADO
3;BARRICK GOLD (PASCUAL LAMA) LIMITED;JERSEY;DGC ;349; 12-11-2008;jun-22;DR XV ;1791; 28-07-2021;ACTUALIZADO
4;BANCO LATINOAMERICANO DE COMERCIO EXTERIOR S.A.;PANAMÁ;DR XIII ;351; 22-01-2009;jun-22;DR XV ;1985; 13-08-2021;ACTUALIZADO
5;NIPPON LP RESOURCES B.V.;PAISES BAJOS;DR XV ;2197; 11-03-2009;jun-21;DR XV ;1835; 20-07-2020;PENDIENTE
6;GENERAL ELECTRIC CAPITAL CORPORATION;ESTADOS UNIDOS;DR XV ;2491; 23-03-2009;jun-14;DR XV ;10196; 22-11-2013;PENDIENTE
7;K+S FINANCE LIMITED;MALTA;DR XV ;116; 26-01-2017;jun-20;DR XV ;2195; 12-08-2019;PENDIENTE
8;MARUBENI LP HOLDING B.V.;PAISES BAJOS;DR XV ;3677; 04-05-2009;jun-22;DR XV ;1671; 20-07-2021;ACTUALIZADO
9;UPC BROADBAND FRANCE SAS;FRANCIA;DR XV ;661; 21-01-2009;jun-15;DR XV ;464; 19-03-2015;PENDIENTE
10;EXPORT DEVELOPMENT CANADA;CANADA;DR XIII ;820; 16-05-2016;jun-22;DR XV ;1673; 20-07-2021;ACTUALIZADO
11;JAPAN ESCONDIDA FINANCE CORPORATION;JAPÓN;DR XV ;1671; 16-09-2016;jun-17;DR XV ;1671; 16-09-2016;PENDIENTE
12;ATHIA FINANCE B.V.;PAISES BAJOS;DR XV ;1376; 22-07-2016;jun-19;DR XV ;1780; 10-07-2020;EXCLUIDO
13;2223316 ONTARIO INC.;CANADA;DR XV ;1485; 10-08-2016;jun-22;DR XV ;1751; 28-07-2021;ACTUALIZADO
14;RG FINANCE (BARBADOS) LIMITED;BARBADOS;DGC ;38; 29-04-2010;jun-16;DGC ;187; 16-09-2016;EXCLUIDO
15;GOLDCORP LATIN AMERICA FINANCE LIMITED;BARBADOS;DR XV ;9626; 29-09-2010;jun-19;DR XV ;2815; 24-08-2018;PENDIENTE
16;FINNING TRACTOR FINANCE N° 3 LIMITED;BARBADOS;DR XV ;10778; 04-11-2010;jun-20;DR XV ;2263; 21-08-2019;PENDIENTE
17;CLOVER FINANCIAL & TREASURY SERVICES LIMITED;IRLANDA;DR XV ;1075; 04-06-2015;jun-19;DR XV ;2357; 25-07-2018;PENDIENTE
18;MASONITE LUXEMBURG S.A.;LUXEMBURGO;DR XV ;1163; 31-05-2016;jun-18;DR XV ;1927; 11-07-2019;EXCLUIDO
19;LBBW MEXICO S.A. DE CV SOFOM E.N.R.;MEXICO;DR XV ;77312009961; 14-09-2012;jun-13;DR XV ;2313; 21-03-2014;EXCLUIDO
20;ORICA FINANCE LIMITED;AUSTRALIA;DR XV ;1065;03-06-2015;jun-22;DR XV ;1752; 28-07-2021;ACTUALIZADO
21;SGS CAPITAL LIMITED;JERSEY;DR XIV ;1196; 17-08-2018;jun-20;DR XIV ;1171; 09-08-2019;PENDIENTE
